trafficking: 
2003,228
2004,2
2005,1
2006,1
2007,1
2008,1
2009,2
2010,1
2011,2
2012,1
2013,2
2014,3
2015,5
trafficked: 
2003,2
2004,1
2005,2
2006,1
2007,5
2008,3
2009,1
2010,61
2011,52
2012,52
2013,1
2014,39
2015,1
forced labor: 
2003,0
2004,1
2005,2
2006,2
2007,4
2008,0
2009,1
2010,1
2011,2
2012,2
2013,6
2014,1
2015,5
forced labour: 
2003,12
2004,17
2005,13
2006,12
2007,31
2008,16
2009,36
2010,33
2011,29
2012,20
2013,38
2014,18
2015,28
labour trafficking: 
2003,0
2004,0
2005,0
2006,0
2007,0
2008,1
2009,4
2010,8
2011,5
2012,3
2013,1
2014,0
2015,5
labor trafficking: 
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
2013,1
2014,0
2015,1
human trafficking: 
2003,23
2004,96
2005,73
2006,62
2007,89
2008,87
2009,81
2010,101
2011,82
2012,104
2013,79
2014,71
2015,582
sex trafficking: 
2003,1
2004,3
2005,3
2006,1
2007,3
2008,2
2009,1
2010,1
2011,3
2012,1
2013,1
2014,1
2015,6
male trafficking: 
2003,0
2004,0
2005,0
2006,0
2007,0
2008,1
2009,0
2010,1
2011,0
2012,0
2013,1
2014,0
2015,0
male trafficked: 
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
2013,0
2014,0
2015,2
men trafficked: 
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
2013,0
2014,0
2015,0
female trafficking: 
2003,0
2004,0
2005,0
2006,0
2007,0
2008,1
2009,0
2010,0
2011,0
2012,0
2013,0
2014,1
2015,0
women trafficked: 
2003,0
2004,1
2005,0
2006,0
2007,2
2008,0
2009,0
2010,0
2011,0
2012,0
2013,0
2014,0
2015,0
child trafficking: 
2003,7
2004,20
2005,27
2006,12
2007,9
2008,20
2009,25
2010,27
2011,5
2012,7
2013,6
2014,7
2015,13
children trafficking: 
2003,3
2004,12
2005,1
2006,0
2007,6
2008,10
2009,2
2010,3
2011,3
2012,3
2013,3
2014,2
2015,1
children trafficked: 
2003,1
2004,7
2005,2
2006,3
2007,0
2008,0
2009,4
2010,0
2011,0
2012,0
2013,2
2014,2
2015,0
